agentid,officeid,firstname,lastname,phonenumber,email,licensenumber,yearsofexperience
61612,5846,Amber,Medina,(103) 328-2090,medinaa@hotmail.com,Kr10-03810818,6.7
98057,7799,Emily,Sandoval,(767) 472-3709,emily.sandoval@hotmail.com,Km65-46406015,29.29
28500,5064,Erica,Mckenzie,(106) 846-1232,erica.mckenzie@gmail.com,QC52-05413897,21.88
76521,9777,Christopher,Welch,(110) 995-1554,christopher_welch@aol.com,EK99-40483569,4.56
53948,2221,Clayton,Flores,(338) 254-0796,floresc@outlook.com,vt68-51811822,24.89
67004,7443,Shelby,Liu,(930) 167-5314,sliu@outlook.com,Ay17-31968341,10.85
97055,8293,Ashley,Wade,(566) 839-0946,awade@mail.com,IP31-05999966,2.18
65154,5563,Kevin,Callahan,(372) 178-6774,kevin.callahan@yahoo.com,oL13-26396945,8.39
29046,5579,Kimberly,Bailey,(479) 495-2674,kimberly.bailey@comcast.net,On71-23821090,2.67
77859,6868,Mary,Nelson,(825) 383-7302,marynelson@hotmail.com,qW62-74281976,7.43
35002,7674,Kara,Wilson,(879) 967-2254,kara_wilson@comcast.net,FB77-08093427,15.93
14680,7170,Sarah,Nelson,(687) 116-4109,sarah_nelson@aol.com,XX22-18246163,12.25
97537,3078,Alisha,Luna,(208) 973-7497,alisha.luna@comcast.net,Eg79-95519793,6.11
96204,7246,Julia,Juarez,(304) 849-3164,jjuarez@aol.com,pR50-91353915,3.71
38558,5846,Tina,Garrison,(234) 015-3626,garrisont@comcast.net,Ga71-79970916,26.18
70483,6579,Ronald,Sanders,(328) 870-1956,ronald.sanders@hotmail.com,Oo16-83754519,28.24
76570,8216,Kevin,Jones,(420) 676-1641,jonesk@aol.com,jG94-14362808,12.48
73740,3836,Lauren,Boyd,(384) 548-4436,laurenboyd@icloud.com,Ke55-30207940,5.04
84593,1030,John,Stanley,(687) 231-7949,john_stanley@outlook.com,Sy09-25439393,21.69
41785,4024,Zachary,Haynes,(555) 228-1452,zachary.haynes@gmail.com,pA34-54525966,24.68
15823,6803,Gabrielle,Phillips,(236) 345-5923,gphillips@yahoo.com,Zy24-96724864,1.87
73331,4499,Alicia,Woodard,(394) 397-1532,woodarda@outlook.com,bf18-82142815,1.16
73972,9627,Robert,Knight,(784) 992-1356,robert_knight@icloud.com,bn70-82164018,2.19
78169,6167,Natalie,Thompson,(254) 003-8183,natalie.thompson@hotmail.com,OX52-91944346,13.26
69172,8087,Carolyn,Dunn,(233) 032-8733,dunnc@comcast.net,vD33-59822736,23.04
18612,2623,Alexander,Torres,(022) 715-2457,alexander.torres@outlook.com,OH16-76121258,1.5
51420,5296,Brittany,Strong,(785) 017-1294,bstrong@aol.com,Cu07-27471097,4.15
28538,7398,Andrew,Lowe,(983) 944-7269,lowea@gmail.com,vU72-02707092,17.17
80356,6755,Zachary,Hernandez,(766) 702-4116,zacharyhernandez@hotmail.com,nn14-96398338,18.34
71007,2743,Jason,Ford,(885) 760-6083,jford@outlook.com,ha32-02997343,13.64
58451,3698,Stacy,Andrade,(857) 280-8583,andrades@comcast.net,en22-98333590,27.5
68810,5107,Emily,Rivera,(367) 859-4250,erivera@mail.com,qL94-80078023,22.23
71896,6682,Michelle,Brown,(331) 792-5514,michelle_brown@icloud.com,ik01-39923037,8.69
65915,5335,Pamela,Moyer,(029) 241-4631,pamelamoyer@aol.com,ga28-15712141,29.67
37773,2862,Charles,Ho,(422) 937-8318,charles.ho@yahoo.com,BW58-36336881,18.82
62618,9258,Gail,Bowman,(359) 014-8410,gailbowman@mail.com,yF97-72120815,10.73
77370,2986,Brenda,Long,(292) 159-7713,brenda_long@hotmail.com,jD98-07262840,29.17
28219,3198,Nicholas,Ruiz,(332) 283-4086,nicholas.ruiz@gmail.com,rC79-82551081,23.2
86039,4253,Chelsea,Hess,(960) 781-2897,chelseahess@yahoo.com,bZ49-34383546,29.18
40544,1746,Gwendolyn,Conway,(755) 863-8141,gwendolyn.conway@gmail.com,ab82-74800029,7.04
21522,7627,Cynthia,Russell,(498) 135-1609,cynthiarussell@hotmail.com,MK41-05531279,12.69
71307,1425,Samantha,Murray,(027) 521-5296,smurray@hotmail.com,lY12-37758169,17.54
22077,8872,Robert,Stephens,(361) 513-2624,stephensr@hotmail.com,rs00-24381910,8.2
22318,8274,Cameron,Silva,(129) 036-9058,silvac@aol.com,rB24-29466474,5.46
74770,6868,Curtis,Freeman,(965) 310-2584,cfreeman@yahoo.com,kx15-45784748,22.27
96200,8301,Jason,Burgess,(525) 176-1021,burgessj@yahoo.com,eC93-98778894,5.15
46050,9278,Valerie,Johnson,(913) 298-0669,vjohnson@hotmail.com,hy44-76227358,1.16
79196,2104,Laura,Miller,(004) 023-8323,lauramiller@comcast.net,fs72-96425804,3.38
35477,3698,Christopher,Gordon,(719) 222-1066,christopher.gordon@hotmail.com,FL79-48682296,14.33
46867,6219,Jonathan,Clark,(645) 756-0573,jonathanclark@mail.com,ss63-54830449,13.28
92126,4557,Adam,Best,(956) 749-2634,adam.best@hotmail.com,Lg08-35315495,16.82
75749,4327,Nicole,Dunn,(165) 105-9577,nicoledunn@aol.com,yi78-72811028,28.56
32502,6339,James,Patrick,(733) 064-2863,patrickj@mail.com,uB69-53560889,4.27
22429,2943,Victor,Fuller,(707) 271-4596,victor.fuller@aol.com,lA90-75916348,8.71
42942,6214,Gary,Ali,(131) 676-8559,alig@hotmail.com,nm55-77543055,13.12
39702,8087,Dawn,Thomas,(648) 003-1184,dawn_thomas@hotmail.com,of86-87467998,25.14
67808,3095,Frank,Mercer,(283) 652-3996,fmercer@gmail.com,dB05-60392927,26.98
69909,9777,Eric,Dudley,(756) 369-7508,edudley@hotmail.com,Ue23-44929159,3.63
43327,9684,Heather,Boyd,(966) 836-3546,heather_boyd@yahoo.com,XO35-79576028,1.53
70426,7627,Jerry,Castillo,(005) 516-9468,jerrycastillo@hotmail.com,ue97-68056023,22.86
83906,2275,Lisa,Gonzalez,(576) 570-0058,gonzalezl@icloud.com,re59-41041774,16.55
47030,7824,Tonya,Cole,(640) 836-0915,tonya_cole@hotmail.com,Kd80-37951234,19.39
46999,1824,Frank,Lopez,(242) 293-4070,frank_lopez@yahoo.com,Ut90-55005469,12.59
52843,1580,Alicia,Ward,(481) 301-7067,award@aol.com,Dd02-58518193,1.48
58047,3488,Stephen,Gray,(198) 950-3091,grays@outlook.com,ZN12-65029543,15.38
85574,1617,Brandon,Barnes,(006) 858-0061,brandonbarnes@gmail.com,Tz33-59149036,25.27
25870,1518,Elizabeth,Baker,(786) 942-7993,elizabeth.baker@mail.com,II39-27877921,15.64
12717,1906,Amy,Frank,(184) 379-8323,amyfrank@icloud.com,pQ45-73068504,3.44
20745,3198,Kevin,Schaefer,(351) 970-6791,schaeferk@aol.com,Am51-80887656,28.91
55097,6564,Terri,Brennan,(989) 021-4009,terri.brennan@gmail.com,oy98-01518223,10.64
68529,2968,John,Jackson,(097) 243-3702,jjackson@aol.com,om02-64494522,3.65
68356,7799,Kristi,Christensen,(492) 828-4339,kristichristensen@outlook.com,ze25-86684756,29.83
99604,6803,James,Sellers,(331) 669-5881,james_sellers@comcast.net,VB96-10400919,5.54
79447,8437,Darin,Lang,(203) 773-2386,darinlang@hotmail.com,Qw13-37546941,20.72
85539,2319,Crystal,Thompson,(855) 731-8447,thompsonc@icloud.com,ki23-22627007,11.22
10573,7779,Joyce,Bradshaw,(197) 143-3664,joycebradshaw@yahoo.com,iC16-44770808,6.03
91345,8301,Theresa,Crawford,(680) 705-3669,theresa_crawford@hotmail.com,bQ87-80715167,19.65
51578,1755,Terry,Spears,(555) 006-4706,terry.spears@mail.com,AJ18-11919353,18.23
78026,5674,Thomas,King,(826) 130-4671,thomasking@gmail.com,EA82-26486880,3.66
14483,6672,Craig,Woods,(847) 004-9651,woodsc@icloud.com,Ki43-56705008,11.08
47669,2163,Natalie,Miles,(962) 715-7336,natalie.miles@mail.com,DE45-05415014,17.61
41577,6917,Chelsea,Graham,(826) 128-6205,cgraham@mail.com,Ix74-22154419,3.29
17669,6353,Matthew,Carpenter,(001) 434-0267,matthew.carpenter@mail.com,av83-02167411,6.62
23780,9278,Allison,Mcdowell,(158) 849-9258,allison.mcdowell@mail.com,ZI60-66190822,20.7
92798,5620,Christopher,Walker,(618) 651-6246,christopherwalker@aol.com,bO23-06785219,20.99
42632,4371,Susan,King,(403) 281-3619,susan.king@outlook.com,PT44-26329296,1.39
68052,6567,Amanda,White,(279) 388-4174,amandawhite@comcast.net,vk31-83137375,10.78
48118,6700,Brian,Foster,(131) 333-2115,bfoster@hotmail.com,kA67-91153184,4.11
46339,2319,Erica,Ramirez,(006) 675-1559,erica_ramirez@aol.com,Ls13-78881144,26.39
33420,1030,Corey,Brown,(519) 765-1428,corey_brown@yahoo.com,iQ57-34678813,11.34
98274,3698,Amanda,Garcia,(714) 917-1823,amanda_garcia@hotmail.com,qN56-16211687,29.76
82567,1746,Michael,Wilkerson,(099) 075-6004,mwilkerson@yahoo.com,sq10-91051235,3.84
47492,5064,Casey,Smith,(710) 459-8684,caseysmith@aol.com,tV49-70959382,13.96
31858,9800,Jennifer,Watson,(004) 249-9804,jennifer.watson@yahoo.com,kZ99-08855864,1.25
26476,1867,Shelia,Nelson,(064) 546-8917,snelson@gmail.com,Wd97-92379018,9.31
20762,7844,Nathan,Middleton,(231) 572-5907,nmiddleton@mail.com,Sh35-48480474,1.3
42153,8785,Dennis,Jensen,(607) 612-4680,jensend@mail.com,OA08-92715620,19.38
20487,7779,Robin,Moore,(997) 416-0797,robin.moore@mail.com,rY09-12844571,25.94
93992,8087,Kevin,Gregory,(446) 115-1513,kevingregory@aol.com,io35-37718648,19.5
59702,4327,Anthony,Roth,(515) 494-6335,aroth@yahoo.com,mH61-20255505,4.83
14941,3198,Patrick,Benson,(435) 588-4337,bensonp@yahoo.com,OV29-10050904,22.65
74359,1696,Allison,Erickson,(528) 936-5780,aerickson@yahoo.com,Mu10-32456219,24.79
78621,6868,Jonathon,Williamson,(267) 310-1751,williamsonj@comcast.net,HG90-14285611,26.4
81210,5003,Kayla,Lawrence,(063) 240-8934,kayla_lawrence@hotmail.com,Ck94-69423836,15.56
51545,1580,Richard,Lin,(577) 081-9399,linr@outlook.com,uw96-32637775,2.72
63626,6430,Justin,Boyd,(686) 220-3964,justinboyd@gmail.com,oq35-65060193,21.96
94450,4162,Jonathan,Walton,(351) 613-9016,jonathan.walton@gmail.com,BN47-80680800,10.51
49437,3402,Kent,Harris,(369) 101-4097,harrisk@gmail.com,Un28-62255132,29.37
26155,2310,Jessica,Freeman,(303) 480-1360,freemanj@outlook.com,Yj14-08599503,1.88
15091,2707,Larry,Harvey,(850) 028-2495,larryharvey@yahoo.com,Jx12-98421270,13.11
87983,6127,Ryan,Pittman,(984) 600-8713,ryan_pittman@icloud.com,Nz06-64431501,1.3
70978,2943,Heather,Brown,(950) 670-6720,hbrown@hotmail.com,UQ96-49204446,6.38
80719,8196,Sarah,Patterson,(944) 304-6703,sarah_patterson@aol.com,Cy59-46227678,16.59
15291,2319,April,Nguyen,(618) 730-3681,anguyen@mail.com,tL95-68708081,17.01
74812,9627,Kathy,Sanchez,(308) 375-5963,ksanchez@outlook.com,ZZ99-81595962,23.32
97344,2968,Kelsey,Dunn,(850) 400-7932,kelseydunn@icloud.com,HL69-65426471,8.21
34071,7262,Terri,Navarro,(341) 009-9338,terri_navarro@aol.com,Fj73-27933146,8.31
35910,3198,Kelly,Riley,(001) 894-9457,kelly.riley@outlook.com,kQ24-61027577,21.42
24009,3402,Tom,Johnson,(401) 681-6222,tomjohnson@aol.com,rR72-92978935,9.6
17984,8588,Carrie,Flynn,(225) 754-8218,carrie.flynn@aol.com,UQ98-62965331,9.73
63703,1617,Bianca,Anderson,(354) 761-3634,bianca_anderson@icloud.com,ys88-27065702,6.36
79869,9356,Brandon,Shah,(169) 451-5210,brandon.shah@mail.com,HE22-14253102,14.33
67767,1696,Ryan,Lamb,(784) 499-5653,lambr@yahoo.com,TZ47-55796466,18.73
69617,2319,Brandon,Hines,(805) 392-9349,brandonhines@gmail.com,UO28-66245034,25.04
68475,1617,Thomas,Rose,(611) 808-6908,thomasrose@mail.com,Dc29-84294466,5.91
21147,2025,Antonio,Marsh,(576) 280-8714,marsha@mail.com,QH42-23494143,23.08
20118,9627,Erika,Young,(825) 512-0698,erikayoung@mail.com,Hw36-23301661,21.45
79897,9278,Stacy,Parrish,(660) 098-2702,stacyparrish@icloud.com,Zv29-42243240,20.26
12504,2524,Kristin,Hood,(579) 077-1902,kristin_hood@hotmail.com,CJ08-05410063,18.08
73713,4327,Jonathan,Newman,(716) 369-2296,jonathannewman@comcast.net,Uv04-85805206,27.81
75236,8437,Nichole,Smith,(893) 473-2430,nsmith@aol.com,pX98-12267690,3.23
66184,2623,Debra,Hall,(808) 546-9994,dhall@icloud.com,Rq88-02645141,8.9
68841,1696,Lisa,Ramirez,(624) 692-2831,lisa.ramirez@mail.com,Mn90-88346139,18.2
68001,9926,Elizabeth,Hernandez,(329) 935-4612,ehernandez@aol.com,QO25-78545925,10.56
67273,1125,Kelly,Hatfield,(447) 544-6644,kellyhatfield@gmail.com,OW79-08769133,27.93
84520,2743,Sheri,Davis,(107) 222-4171,sdavis@comcast.net,ca80-96590390,27.61
93020,2968,Ronald,Reed,(843) 226-5398,ronald.reed@yahoo.com,gR81-75430597,28.93
83704,2986,Mark,Park,(753) 585-1351,mark.park@outlook.com,jZ42-95270436,26.11
63701,3999,Michael,Glass,(903) 973-3114,glassm@hotmail.com,va27-38009965,12.83
60146,2221,Amanda,Washington,(082) 288-1118,awashington@yahoo.com,cj26-04819760,25.95
61610,6917,Brittany,Dunn,(105) 517-2170,brittany_dunn@comcast.net,RK79-19615334,6.13
68671,1662,Denise,Pugh,(895) 212-4115,denise_pugh@outlook.com,Wb90-91692352,15.23
93598,6700,Angela,Richards,(192) 466-3339,richardsa@aol.com,bR83-47181972,28.31
96621,6339,Megan,Hoover,(062) 004-2455,megan.hoover@outlook.com,by05-57971867,24.98
53985,1746,Margaret,Bautista,(472) 802-3687,mbautista@outlook.com,gW77-75081100,20.09
18962,6417,Louis,Mccann,(336) 958-5177,louis.mccann@mail.com,xZ06-78483430,8.74
54501,9101,Emily,Watts,(026) 492-4654,wattse@yahoo.com,Ku89-44907952,2.05
55531,5960,Jorge,Brown,(059) 129-6543,jorgebrown@gmail.com,yn00-63502676,14.78
75485,6024,Cynthia,Morton,(258) 411-4167,cynthia.morton@mail.com,zd44-11425762,1.18
90550,3270,Tyrone,Norton,(199) 078-8510,tyrone_norton@icloud.com,Ij04-99534961,13.72
56467,3735,Lisa,Calderon,(882) 601-8533,lisacalderon@gmail.com,lf10-83117742,24.3
13235,2678,John,Garcia,(819) 474-8296,garciaj@gmail.com,na77-22273457,15.46
39339,3402,Chad,Quinn,(138) 533-2883,cquinn@comcast.net,sh53-50157883,28.22
21597,2869,William,Mckee,(941) 651-6305,william_mckee@mail.com,QP61-69089984,24.33
41033,7784,Matthew,Kane,(587) 651-8972,mkane@mail.com,Ri18-19680540,3.57
72302,9278,Derek,Williams,(585) 632-4063,williamsd@yahoo.com,dS87-12035248,27.32
59719,2623,Jennifer,Nelson,(787) 763-7721,jnelson@yahoo.com,Ii88-63675433,17.11
12834,2310,Glenn,Mosley,(546) 442-9272,glenn_mosley@aol.com,tn05-12082952,8.19
28170,4024,Lisa,Grimes,(051) 506-0116,lisa.grimes@aol.com,Ua94-79025244,14.28
27183,7262,Jose,Johnson,(296) 399-3254,jose.johnson@icloud.com,LX25-36180248,5.5
99946,9802,Joseph,Melton,(689) 223-2958,josephmelton@icloud.com,uV14-88228012,24.17
14375,4258,Karen,Hudson,(450) 596-3470,karen.hudson@yahoo.com,RQ63-86860015,17.55
20470,5317,Juan,Lee,(607) 790-2004,leej@icloud.com,Hm22-61906993,18.57
71737,8298,Stuart,Owens,(587) 114-2783,stuart_owens@mail.com,wl03-46430074,8.97
26072,9926,Michelle,Smith,(186) 350-3288,michellesmith@icloud.com,PL33-60727765,9.08
88629,5335,Kevin,Lopez,(025) 129-1569,klopez@gmail.com,cC45-25134415,20.64
41815,5790,Christopher,Chase,(805) 070-2963,christopherchase@icloud.com,jz22-23452439,11.52
62953,7779,Charles,Warner,(661) 023-0463,charles.warner@aol.com,GA25-31730244,13.76
25434,7246,Gary,Jacobson,(618) 139-0753,jacobsong@hotmail.com,uf10-56831288,11.65
61695,5107,William,Parks,(569) 915-1804,williamparks@hotmail.com,gg98-04451423,16.13
84817,8274,Amy,Baldwin,(912) 781-1519,baldwina@outlook.com,pd79-17607882,24.68
21692,8196,Benjamin,Chambers,(731) 935-7820,bchambers@aol.com,bR94-20049030,4.24
16028,2442,Margaret,Mckinney,(192) 529-4187,margaret_mckinney@gmail.com,ki10-96223242,22.34
34085,6564,Rhonda,Horne,(468) 079-6338,rhondahorne@gmail.com,ux45-96802053,23.77
34383,9331,Richard,Hawkins,(081) 081-3687,richardhawkins@icloud.com,UV96-50845554,25.04
49858,2997,Laura,Cohen,(963) 953-7508,lauracohen@yahoo.com,ql87-14885972,8.15
41501,7523,David,Moran,(511) 664-9987,dmoran@icloud.com,UE21-20408750,4.29
30073,7523,Jamie,Snyder,(212) 184-4692,snyderj@outlook.com,Zt91-50984142,5.62
43431,1125,Jeffrey,Cobb,(387) 094-5458,jeffrey.cobb@icloud.com,Yv07-59103584,26.9
35810,2442,Scott,Garcia,(434) 254-6521,scottgarcia@gmail.com,xk26-97869202,9.69
32789,6370,Jennifer,Wilson,(458) 658-6729,jenniferwilson@hotmail.com,iR45-28001087,22.82
39473,3698,Michelle,Smith,(942) 906-3160,msmith@aol.com,oB11-75421020,26.75
49462,2829,Paul,Dyer,(065) 629-9068,dyerp@comcast.net,kb67-40846931,18.0
28555,5317,Wesley,Bennett,(276) 696-4233,wbennett@hotmail.com,jQ98-44287449,15.95
23829,9278,Janice,Fitzgerald,(296) 441-9107,jfitzgerald@aol.com,QR18-10679089,5.51
63117,2486,Kenneth,Villa,(585) 668-9976,kennethvilla@yahoo.com,uj56-17182236,5.81
59517,3078,Richard,Fry,(202) 570-4949,richard_fry@mail.com,Ck30-10634600,22.61
16105,1746,Nicholas,Nelson,(907) 795-5883,nicholasnelson@yahoo.com,ZO64-40659481,1.02
67024,4253,David,Eaton,(132) 821-7312,deaton@outlook.com,ye36-27614245,27.22
30835,5790,Cynthia,Bryant,(578) 906-6131,cynthiabryant@yahoo.com,NE36-83693934,27.63
33510,3198,Jerry,Ruiz,(963) 163-7613,jerryruiz@aol.com,Fx21-69175862,3.34
52270,6024,Paula,Miller,(671) 103-4717,millerp@gmail.com,Mp22-16598493,3.49
41710,9621,Brooke,Ford,(208) 427-7574,brooke.ford@hotmail.com,kI23-05960630,3.43
32402,1662,Jose,Chen,(946) 310-4253,josechen@hotmail.com,jy34-43303770,24.75
57300,2104,Beth,Bennett,(006) 857-0768,beth.bennett@hotmail.com,ru69-79008421,16.26
16232,1926,Erik,Miller,(280) 925-3176,erik.miller@hotmail.com,Yq33-66586556,18.02
41547,8120,Danny,Carter,(530) 652-1891,carterd@gmail.com,aw91-22684034,5.61
88378,7227,John,Russell,(753) 920-5428,john.russell@gmail.com,hE95-30240674,12.24
18706,2829,Fernando,Bates,(847) 953-9006,fbates@aol.com,iS24-98589097,3.82
57304,7262,Tina,Williams,(276) 378-4920,tinawilliams@comcast.net,MQ34-58969041,8.12
45885,5064,Brian,Castillo,(078) 175-6866,brian.castillo@yahoo.com,dU54-87737531,6.75
76329,6917,Caitlin,Swanson,(434) 951-5097,swansonc@comcast.net,Yh05-55650161,3.02
20888,5064,Jeffrey,Chen,(845) 397-9535,chenj@icloud.com,Sl16-55166626,27.09
13330,7824,Melissa,Miller,(061) 821-8013,mmiller@aol.com,Be23-74038856,23.08
44002,7779,Crystal,Thompson,(689) 395-0793,crystalthompson@gmail.com,LX43-51007543,13.14
46139,6700,Angel,Wilson,(411) 079-7389,angel_wilson@yahoo.com,As88-82105448,12.23
33433,3447,Stephanie,Romero,(332) 355-7599,stephanieromero@aol.com,Uq73-86369798,7.03
36874,8785,Teresa,Reynolds,(400) 213-6096,teresa.reynolds@yahoo.com,cr10-02504839,8.9
21598,1425,Desiree,Spencer,(659) 176-4817,desiree_spencer@aol.com,SR95-56177377,10.34
90076,6564,Russell,Hernandez,(396) 555-5525,russell.hernandez@hotmail.com,QI47-04587736,25.06
88213,2524,Jeffrey,Rodriguez,(587) 424-5224,jeffreyrodriguez@gmail.com,Pr00-05762079,20.36
28212,3764,Terri,Weber,(665) 082-0027,terri_weber@yahoo.com,Sa93-39903422,26.44
16057,7824,Brian,King,(387) 497-3242,bking@comcast.net,ae90-72010540,3.71
20909,1906,Pamela,Smith,(834) 822-4672,pamelasmith@yahoo.com,vK72-61432340,12.03
70597,4499,Nathan,Collins,(780) 960-5860,ncollins@aol.com,RO05-79296635,23.43
39456,6417,Alison,Li,(343) 578-4993,alison_li@outlook.com,qi25-88005876,10.79
96092,5960,Eric,Allen,(596) 236-3107,ericallen@icloud.com,EB57-59777770,21.22
80544,2163,Caleb,Dixon,(448) 053-9766,dixonc@icloud.com,RP98-35494434,28.32
61132,7844,Susan,Williams,(301) 020-9724,susan.williams@aol.com,Ge44-22375209,29.95
74441,2733,Autumn,Waller,(229) 674-0942,awaller@icloud.com,iZ44-84892385,22.7
44755,5296,Jasmine,Gibson,(734) 806-3552,jasmine.gibson@comcast.net,LI63-73204579,21.9
19518,6430,Erik,Torres,(058) 227-3805,eriktorres@mail.com,nU72-55057125,28.18
86035,1696,Samantha,Durham,(270) 088-6953,samantha.durham@gmail.com,Kn39-17920936,28.89
92981,1696,Nicholas,Gomez,(502) 364-9895,nicholas_gomez@mail.com,gc03-01882479,20.52
20245,2999,Samantha,Johnson,(625) 380-7129,samantha.johnson@icloud.com,FN14-22360409,18.57
63244,9101,John,Moore,(284) 162-9105,johnmoore@outlook.com,Aq76-41901512,20.46
42559,9101,Rhonda,Moore,(180) 723-3141,rmoore@aol.com,yG80-03900623,22.8
83868,7770,Joseph,Wagner,(373) 629-2671,wagnerj@gmail.com,hS35-70538586,9.6
66055,5107,Carla,Roman,(407) 983-5468,romanc@outlook.com,Jg02-48362504,23.28
89601,6755,Tracy,Miller,(631) 320-7139,millert@yahoo.com,Hy66-33382986,26.74
44423,7779,Cody,Andersen,(297) 025-4114,cody_andersen@comcast.net,Ta38-57071173,4.29
